,Area (SQFT),Unit Price ($ PSF),Floor,Remaining Tenure,Is Freehold,walk_distance,Condo_Apartment,Landed,East Region,North East Region,North Region,West Region,Resale,Sub Sale
0,1420.85,1608,4,96,0,541.0,1,0,0,0,0,0,0,0
1,592.02,1679,2,97,0,1137.0,1,0,0,0,0,0,0,0
2,1291.68,1613,12,97,0,1352.0,1,0,0,0,0,1,0,0
3,1291.68,1564,9,97,0,1352.0,1,0,0,0,0,1,0,0
4,936.47,1486,13,96,0,979.0,1,0,0,1,0,0,0,0
5,516.67,1421,10,96,0,1405.0,1,0,0,1,0,0,0,0
6,1033.34,1299,8,96,0,1545.0,1,0,1,0,0,0,0,0
7,602.78,1520,5,96,0,840.0,1,0,0,0,0,0,0,0
8,861.12,1574,5,97,0,1448.0,1,0,0,0,0,1,0,0
9,1151.75,1686,17,96,0,576.0,1,0,0,0,0,0,0,0
10,818.06,2923,8,0,1,1269.0,1,0,0,0,0,0,0,0
11,947.23,1828,11,96,0,1568.0,1,0,0,0,0,0,0,0
12,484.38,3011,10,96,0,519.0,1,0,0,0,0,0,0,0
13,699.66,1496,4,0,1,665.0,1,0,0,0,0,0,0,0
14,1291.68,1568,11,97,0,1352.0,1,0,0,0,0,1,0,0
15,570.49,1595,6,0,1,665.0,1,0,0,0,0,0,0,0
16,678.13,1357,8,96,0,1572.0,1,0,1,0,0,0,0,0
17,430.56,1486,3,0,1,1035.0,1,0,1,0,0,0,1,0
18,1259.39,1692,11,96,0,595.0,1,0,0,0,0,0,0,0
19,904.18,1657,6,96,0,576.0,1,0,0,0,0,0,0,0
20,914.94,1525,2,97,0,1351.0,1,0,0,0,0,1,0,0
21,796.54,1541,3,95,0,3041.0,1,0,0,1,0,0,0,0
22,678.13,1329,5,96,0,1545.0,1,0,1,0,0,0,0,0
23,1291.68,1564,10,97,0,1352.0,1,0,0,0,0,1,0,0
24,516.67,1423,12,96,0,1492.0,1,0,0,1,0,0,0,0
25,1173.28,1108,5,88,0,1250.0,1,0,1,0,0,0,1,0
26,3605.94,589,0,74,0,1537.0,0,1,0,0,0,0,1,0
27,947.23,1054,5,0,1,363.0,1,0,0,0,0,0,1,0
28,1248.62,913,11,89,0,410.0,0,0,0,0,0,1,1,0
29,1399.32,647,7,70,0,1150.0,1,0,1,0,0,0,1,0
30,1539.25,780,1,74,0,590.0,1,0,1,0,0,0,1,0
31,742.72,2189,5,89,0,182.0,1,0,0,0,0,0,1,0
32,721.19,998,11,73,0,408.0,1,0,0,0,0,1,1,0
33,1054.87,1707,15,96,0,541.0,1,0,0,0,0,0,0,0
34,2102.21,1118,0,0,1,2990.0,0,1,0,1,0,0,1,0
35,1420.85,1727,19,96,0,541.0,1,0,0,0,0,0,0,0
36,581.26,1755,15,92,0,220.0,1,0,0,0,0,0,0,1
37,947.23,895,4,71,0,1188.0,1,0,0,1,0,0,1,0
38,1033.34,827,11,88,0,2027.0,0,0,0,0,1,0,1,0
39,462.85,1404,12,86,0,961.0,1,0,1,0,0,0,1,0
40,731.95,1620,6,96,0,2135.0,1,0,0,1,0,0,0,0
41,947.23,2562,20,0,1,2091.0,1,0,0,0,0,0,0,0
42,1184.04,701,5,82,0,870.0,0,0,0,0,1,0,1,0
