Area (SQFT),Unit Price ($ PSF),Type of Sale,Property Type,Planning Region,Floor,Remaining Tenure,Is Freehold,walk_distance
1420.85,1608,New Sale,Condominium,Central Region,4,96,0,541.0
592.02,1679,New Sale,Apartment,Central Region,2,97,0,1137.0
1291.68,1613,New Sale,Apartment,West Region,12,97,0,1352.0
1291.68,1564,New Sale,Apartment,West Region,9,97,0,1352.0
936.47,1486,New Sale,Apartment,North East Region,13,96,0,979.0
516.67,1421,New Sale,Apartment,North East Region,10,96,0,1405.0
1033.34,1299,New Sale,Condominium,East Region,8,96,0,1545.0
602.78,1520,New Sale,Apartment,Central Region,5,96,0,840.0
861.12,1574,New Sale,Apartment,West Region,5,97,0,1448.0
1151.75,1686,New Sale,Condominium,Central Region,17,96,0,576.0
818.06,2923,New Sale,Condominium,Central Region,8,0,1,1269.0
947.23,1828,New Sale,Apartment,Central Region,11,96,0,1568.0
484.38,3011,New Sale,Apartment,Central Region,10,96,0,519.0
699.66,1496,New Sale,Apartment,Central Region,4,0,1,665.0
1291.68,1568,New Sale,Apartment,West Region,11,97,0,1352.0
570.49,1595,New Sale,Apartment,Central Region,6,0,1,665.0
678.13,1357,New Sale,Condominium,East Region,8,96,0,1572.0
430.56,1486,Resale,Condominium,East Region,3,0,1,1035.0
1259.39,1692,New Sale,Condominium,Central Region,11,96,0,595.0
904.18,1657,New Sale,Condominium,Central Region,6,96,0,576.0
914.94,1525,New Sale,Apartment,West Region,2,97,0,1351.0
796.54,1541,New Sale,Apartment,North East Region,3,95,0,3041.0
678.13,1329,New Sale,Condominium,East Region,5,96,0,1545.0
1291.68,1564,New Sale,Apartment,West Region,10,97,0,1352.0
516.67,1423,New Sale,Apartment,North East Region,12,96,0,1492.0
1173.28,1108,Resale,Condominium,East Region,5,88,0,1250.0
3605.94,589,Resale,Terrace House,Central Region,0,74,0,1537.0
947.23,1054,Resale,Apartment,Central Region,5,0,1,363.0
1248.62,913,Resale,Executive Condominium,West Region,11,89,0,410.0
1399.32,647,Resale,Condominium,East Region,7,70,0,1150.0
1539.25,780,Resale,Condominium,East Region,1,74,0,590.0
742.72,2189,Resale,Apartment,Central Region,5,89,0,182.0
721.19,998,Resale,Apartment,West Region,11,73,0,408.0
1054.87,1707,New Sale,Condominium,Central Region,15,96,0,541.0
2102.21,1118,Resale,Terrace House,North East Region,0,0,1,2990.0
1420.85,1727,New Sale,Condominium,Central Region,19,96,0,541.0
581.26,1755,Sub Sale,Apartment,Central Region,15,92,0,220.0
947.23,895,Resale,Condominium,North East Region,4,71,0,1188.0
1033.34,827,Resale,Executive Condominium,North Region,11,88,0,2027.0
